name_id	domain	kingdom	phylum	class	order	family
1	Eukarya					
2	Eukarya	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
3	Eukarya	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
4	Eukarya	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
5	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
7	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae
12		Fungi	Ascomycota	Ascomycetes	Pezizales	Morchellaceae
13	Eukarya	Protozoa				
14	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
15	Eukarya	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae
16	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
17	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	
18	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae
19	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae
21	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae
22		Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae
23	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae
24	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Battarreaceae
25	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Phyllotopsidaceae
26	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Phyllotopsidaceae
27	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
28	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
29	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
30	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
31	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
32	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
33	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
34	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
35	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
36	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae
37	Eukarya	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae
40	Eukarya	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae
41	Eukarya	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Phaeotremellaceae
42	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
43	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae
44	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae
45	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae
47	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae
