id	text_name	author	deprecated	correct_spelling_id	synonym_id	rank
1	Fungi	Bartl.	0	NULL	9996	14
2	Xylaria polymorpha group	J.D. Rogers	0	NULL	8975	16
3	Xylaria magnoliae	J.D. Rogers	0	NULL	NULL	4
4	Xylaria hypoxylon group	J.D. Rogers	0	NULL	3692	16
5	Xeromphalina	Kühner & Maire	0	NULL	6577	9
6	Xerocomus zelleri	(Murrill) Snell	1	NULL	505	4
7	Xerocomus subtomentosus	(L.) Quél.	0	NULL	645	4
8	Xerocomus dryophilus	(Thiers) Singer	1	NULL	4404	4
9	Xerocomus chrysenteron	(Bull.) Quél.	1	NULL	10076	4
10	Volvariella gloiocephala	(DC.) Boekhout & Enderle	1	NULL	593	4
11	Volvariella smithii	Shaffer	0	NULL	NULL	4
12	Verpa bohemica	(Krombh.) J. Schröt.	0	NULL	2545	4
13	Myxomycota	Traub	0	NULL	5178	13
14	Agaricales	Underw.	0	NULL	6973	11
15	Tremella	Pers.	0	NULL	NULL	9
16	Panellus stipticus	(Bull.) P. Karst.	0	NULL	2663	4
17	Polyporaceae	Fr. ex Corda	0	NULL	3512	10
18	Gymnopus bakerensis	(A.H. Sm.) auct. comb. prov.	1	NULL	3779	4
19	Ciboria rufofusca	(O. Weberb.) Sacc.	0	NULL	NULL	4
21	Tylopilus indecisus	(Peck) Murrill	0	NULL	NULL	4
22	Tylopilus eximius	(Peck) Singer	1	NULL	6094	4
23	Tylopilus chromapes	(Frost) A.H. Sm. & Thiers	1	NULL	682	4
24	Tulostoma macrocephalum	Long	0	NULL	NULL	4
25	Tricholomopsis rutilans	(Schaeff.) Singer	0	NULL	4772	4
26	Tricholomopsis flavissima	(A.H. Sm.) Singer	0	NULL	NULL	4
27	Tricholoma vernaticum	Shanks	0	NULL	393	4
28	Tricholoma saponaceum	(Fr.) P. Kumm.	0	NULL	6499	4
29	Tricholoma moseri	Singer	0	NULL	9336	4
30	Tricholoma magnivelare	(Peck) Redhead	0	NULL	392	4
31	Tricholoma intermedium	Peck	0	NULL	391	4
32	Tricholoma focale	(Fr.) Ricken	0	NULL	395	4
33	Tricholoma flavovirens	(Pers.) S. Lundell	1	NULL	390	4
34	Tricholoma aurantium	(Schaeff.) Ricken	0	NULL	4280	4
35	Tricholoma atrosquamosum	Sacc.	0	NULL	NULL	4
36	Tricholoma argyraceum	(Bull.) Gillet	0	NULL	NULL	4
37	Trichoglossum hirsutum	(Pers.) Boud.	0	NULL	5861	4
38	Trichaptum biformis	(Fr.)	1	16577	2523	4
40	Tremella mesenterica	Retz.	0	NULL	385	4
41	Tremella foliacea	Pers.	1	NULL	5512	4
42	Trametes versicolor	(L.) Lloyd	0	NULL	4152	4
43	Suillus tomentosus	Singer, Snell & E.A. Dick	0	NULL	3024	4
44	Suillus ponderosus	A.H. Sm. & Thiers	0	NULL	8980	4
45	Suillus lakei	(Murrill) A.H. Sm. & Thiers	0	NULL	2565	4
46	Suillus fuscotomentosus	Thiers & A.H. Sm.	0	NULL	NULL	4
47	Suillus caerulescens	A.H. Sm. & Thiers	0	NULL	8979	4
48	Suillus brevipes	(Peck) Kuntze	0	NULL	NULL	4
49	Stropharia umbonatescens	(Peck) Sacc.	1	NULL	2927	4
50	Stropharia	(Fr.) Quél.	0	NULL	5764	9
51	Stropharia riparia	A.H. Sm.	1	NULL	373	4
52	Stropharia cyanea	(Bull.) Tuom.	0	NULL	NULL	4
53	Stropharia ambigua	(Peck) Zeller	0	NULL	NULL	4
54	Strobilurus trullisatus	(Murrill) Lennox	0	NULL	371	4
55	Strobilurus albipilatus	(Peck) V.L. Wells & Kempton	0	NULL	370	4
56	Strobilomyces floccopus	(Vahl) P. Karst.	1	NULL	369	4
57	Stereum	Hill ex Pers.	0	NULL	6516	9
58	Spathulariopsis velutipes	(Cooke & Farl. ex Cooke) Maas Geest.	0	NULL	679	4
59	Sparassis crispa	(Wulfen) Fr.	0	NULL	366	4
60	Scutellinia scutellata	(L.) Lambotte	0	NULL	2849	4
61	Scleroderma laeve	Lloyd	0	NULL	NULL	4
62	Scleroderma citrinum	Pers.	0	NULL	365	4
63	Schizophyllum commune	Fr.	0	NULL	2852	4
64	Sarcosphaera coronaria	(Jacq.) J. Schröt.	0	NULL	363	4
65	Sarcoscypha coccinea	(Jacq.) Lambotte	0	NULL	619	4
66	Sarcodon subincarnatus	(K.A. Harrison) K.A. Harrison	0	NULL	351	4
67	Sarcodon squamosus	(Schaeff.) Quél.	0	NULL	7853	4
68	Sarcodon fuscoindicus	(K.A. Harrison) Maas Geest.	0	NULL	350	4
69	Russula virescens	(Schaeff.) Fr.	0	NULL	6670	4
72	Russula sanguinea	(Bull.) Fr.	0	NULL	349	4
73	Russula pelargonia	Niolle	0	NULL	NULL	4
74	Russula maculata	Quél. & Roze	0	NULL	NULL	4
76	Russula fragrantissima	Romagn.	0	NULL	NULL	4
77	Russula farinipes	Romell	0	NULL	NULL	4
78	Russula cyanoxantha	(Schaeff.) Fr.	0	NULL	NULL	4
79	Russula aeruginea	Fr.	0	NULL	NULL	4
80	Rhodocollybia butyracea	(Bull.) Lennox	0	NULL	346	4
81	Rhodocollybia asema	(Fr.) Bendiksen & Dima	0	NULL	521	4
82	Rhizopogon ochraceorubens	A.H. Sm.	0	NULL	NULL	4
83	Ramaria verlotensis	Marr & D.E. Stuntz	0	NULL	NULL	4
84	Ramaria stuntzii	Marr	0	NULL	NULL	4
85	Ramaria	Fr. ex Bonord.	0	NULL	7035	9
86	Ramaria rasilispora	Marr & D.E. Stuntz	0	NULL	520	4
87	Ramaria rubribrunnescens	Marr & D.E. Stuntz	0	NULL	NULL	4
88	Ramaria largentii	Marr & D.E. Stuntz	0	NULL	NULL	4
89	Ramaria gelatinosa	Holmsk.	1	NULL	527	4
90	Ramaria gelatiniaurantia	Marr & D.E. Stuntz	0	NULL	3681	4
91	Ramaria flavobrunnescens	(G.F. Atk.) Corner	0	NULL	4293	4
92	Ramaria fennica	(P. Karst.) Ricken	0	NULL	3670	4
93	Ramaria botrytis	(Pers.) Ricken	0	NULL	NULL	4
94	Ramaria araiospora	Marr & D.E. Stuntz	0	NULL	NULL	4
95	Ramaria acrisiccescens	Marr & D.E. Stuntz	0	NULL	3702	4
96	Ramaria abietina	(Pers.) Quél.	1	NULL	327	4
97	Pyronema domesticum	(Sowerby) Sacc.	0	NULL	NULL	4
99	Pulveroboletus ravenelii	(Berk. & M.A. Curtis) Murrill	0	NULL	2684	4
100	Pseudohydnum gelatinosum	(Scop.) P. Karst.	0	NULL	NULL	4
101	Pseudocolus fusiformis	(E. Fisch.) Lloyd	0	NULL	325	4
102	Pseudoclitocybe cyathiformis	(Bull.) Singer	0	NULL	697	4
105	Psathyrella longipes	(Peck) A.H. Sm.	0	NULL	9677	4
108	Pluteus	Fr.	0	NULL	6598	9
111	Pleurotus ostreatus	(Jacq.) P. Kumm.	0	NULL	8924	4
112	Pleurotus eryngii	(DC.) Quél.	0	NULL	NULL	4
113	Pleurotus djamor	(Rumph. ex Fr.) Boedijn	0	NULL	NULL	4
114	Pleurotus columbinus	Quél.	0	NULL	NULL	4
115	Plectania nannfeldtii	Korf	0	NULL	NULL	4
116	Pithya vulgaris	Fuckel	0	NULL	4506	4
117	Pithya	Fuckel	0	NULL	4505	9
118	Pisolithus arhizus	(Scop.) Rauschert	0	NULL	8992	4
119	Phyllotopsis nidulans	(Pers.) Singer	0	NULL	2814	4
120	Pholiota velaglutinosa	A.H. Sm. & Hesler	0	NULL	NULL	4
121	Pholiota	(Fr.) P. Kumm.	0	NULL	6393	9
