LatinName,PolishName,Description,Edibility,Toxicity,Habitat
Abortiporus biennis,Jamkówka białobrązowa,"Grzyb o charakterystycznym wyglądzie, z kapeluszem o średnicy 5-15 cm, białawym lub jasnobrązowym. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się od lata do jesieni",Niejadalny,Nie trujący,"Liściasty
"
Agaricus abruptibulbus,Pieczarka bulwiasta,Grzyb o białym kapeluszu i trzonku z wyraźną bulwą u podstawy. Rośnie na ziemi w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus albolutescens,Pieczarka żółtawa,"Grzyb o białawym kapeluszu, który z wiekiem żółknie. Rośnie na ziemi w lasach liściastych i na łąkach. Owocniki pojawiają się od lata do jesieni",Jadalny,Nie trujący,"Liściasty
"
Agaricus arvensis,Pieczarka polna,"Duży grzyb o białym kapeluszu i trzonku. Rośnie na łąkach, pastwiskach i w ogrodach. Owocniki pojawiają się od wiosny do jesieni",Jadalny,Nie trujący,"Liściasty
"
Agaricus augustus,Pieczarka okazała,"Duży grzyb o brązowym, łuskowatym kapeluszu. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Mieszany
"
Agaricus bitorquis,Pieczarka miejska,"Grzyb o białym, mięsistym kapeluszu i podwójnym pierścieniu na trzonku. Rośnie w parkach, ogrodach i na trawnikach miejskich. Owocniki pojawiają się od wiosny do jesieni",Jadalny,Nie trujący,"Liściasty
"
Agaricus bresadolanus,Pieczarka Bresadoli,Grzyb o białawym kapeluszu z brązowymi łuskami. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus brunneofibrillosus,Pieczarka brązowowłóknista,"Grzyb o brązowym, włóknistym kapeluszu. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Mieszany
"
Agaricus californicus,Pieczarka kalifornijska,Grzyb o białawym kapeluszu z brązowymi łuskami. Rośnie w lasach iglastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus campestris,Pieczarka łąkowa,"Popularny grzyb jadalny o białym kapeluszu i różowych blaszkach. Rośnie na łąkach, pastwiskach i w ogrodach. Owocniki pojawiają się od wiosny do jesieni",Jadalny,Nie trujący,"Liściasty
"
Agaricus endoxanthus,Pieczarka żółtawobrązowa,"Grzyb o żółtawobrązowym kapeluszu, który ciemnieje z wiekiem. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Mieszany
"
Agaricus hondensis,Pieczarka Hondy,Grzyb o białawym kapeluszu z brązowymi łuskami. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus lilaceps,Pieczarka liliowa,Grzyb o liliowym odcieniu kapelusza. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus moelleri,Pieczarka różowoblaszkowa,Grzyb o białawym kapeluszu i różowych blaszkach. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Mieszany
"
Agaricus nanaugustus,Pieczarka karłowata,Mały grzyb o białawym kapeluszu. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus placomyces,Pieczarka brązowołuskowa,Grzyb o białawym kapeluszu z brązowymi łuskami. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Mieszany
"
Agaricus subrutilescens,Pieczarka czerwonawa,Grzyb o czerwonawym odcieniu kapelusza. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus sylvaticus,Pieczarka leśna,"Grzyb o brązowym, łuskowatym kapeluszu. Rośnie w lasach iglastych i mieszanych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Mieszany
"
Agaricus sylvicola,Pieczarka brunatnoczerwona,Grzyb o brązowoczerwonym kapeluszu. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus vinosobrunneofumidus,Pieczarka winnobrązowa,Grzyb o winnobrązowym kapeluszu. Rośnie w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Agaricus xanthodermus,Pieczarka żółtawa,"Grzyb o białawym kapeluszu, który żółknie po dotknięciu. Rośnie w parkach, ogrodach i lasach liściastych. Owocniki pojawiają się od lata do jesieni",Niejadalny,Trujący,"Liściasty
"
Agrocybe,Polówka,"Rodzaj grzybów o brązowych kapeluszach i trzonkach. Rosną na ziemi, drewnie lub resztkach roślinnych. Owocniki pojawiają się od wiosny do jesieni","Niektóre jadalne, inne niejadalne",Niektóre trujące,"Mieszany
"
Agrocybe acericola,Polówka klonowa,Grzyb o miodowo-brązowym kapeluszu. Rośnie na martwym drewnie klonów i innych drzew liściastych. Owocniki pojawiają się od wiosny do jesieni,Niejadalny,Nie trujący,"Liściasty
"
